A1(5%),A2(5%),A3(5%),A4(3%),Assignments(15%),T1(12.5%),T2(12.5%),Tests(25%),CW(40%),Q1(27),Q2(27),Q3(16),Final(70),Scaled Final(60%),Total Score(100%)
3.265306122,0.4,2,0,6,3.4375,8.333333333,12,17,15,27,0,42,36,53
4.795918367,3.8,2.5,0,11,10.625,4.166666667,15,26,24,21,5,50,43,69
3.979591837,0.4,4.25,0,9,2.5,7.196969697,10,18,24,13,13,50,43,61
0.612244898,0.8,5,0,6,3.125,3.409090909,7,13,11,7,2,20,17,30
2.040816327,2.4,2.75,0,7,9.0625,0.757575758,10,17,23,26,10,59,51,68
2.142857143,3,3,0,8,2.1875,1.515151515,4,12,4,11,15,30,26,38
3.265306122,1,3.25,0,8,9.6875,5.681818182,15,23,19,27,7,53,45,68
4.081632653,1.6,1.5,0,7,8.75,2.651515152,11,19,6,17,7,30,26,44
2.857142857,1.8,5,0,10,4.0625,6.060606061,10,20,26,13,15,54,46,66
3.775510204,5,2,0,11,10.9375,3.03030303,14,25,25,26,2,53,45,70
3.87755102,3.8,1.5,0,9,8.75,11.74242424,20,30,24,21,15,60,51,81
4.285714286,1.6,3.5,0,9,11.25,9.090909091,20,30,12,26,5,43,37,67
3.469387755,2.2,2.75,0,8,2.5,7.954545455,10,19,4,13,12,29,25,44
1.428571429,3.4,3,0,8,3.125,4.166666667,7,15,6,5,9,20,17,32
2.346938776,0.8,1.5,0,5,11.25,4.924242424,16,21,6,15,3,24,21,41
2.653061224,1.4,2.75,0,7,0,8.333333333,8,15,12,12,16,40,34,49
1.428571429,1.4,3.25,0,6,1.5625,11.74242424,13,19,21,23,12,56,48,67
2.142857143,3,3.75,0,9,6.5625,12.5,19,28,6,10,16,32,27,55
1.530612245,4.8,2,0,8,11.5625,8.712121212,20,29,20,16,6,42,36,65
0,0.2,0.25,0,0,11.875,9.848484848,22,22,16,10,6,32,27,50
1.12244898,2.2,2.25,0,6,6.25,2.272727273,9,14,21,1,16,38,33,47
2.040816327,0.8,3,0,6,6.25,12.5,19,25,0,22,9,31,27,51
2.959183673,3.6,1,0,8,11.5625,6.060606061,18,25,11,9,8,28,24,49
3.367346939,4.6,1.75,0,10,7.5,2.651515152,10,20,24,26,8,58,50,70
2.857142857,1.4,0.25,0,5,2.8125,12.5,15,20,24,24,1,49,42,62
0.714285714,3.4,3.25,0,7,1.5625,0.378787879,2,9,27,6,5,38,33,42
1.326530612,2.2,4.25,0,8,4.0625,1.893939394,6,14,26,25,8,59,51,64
3.571428571,2,1.75,0,7,1.5625,0.757575758,2,10,15,6,3,24,21,30
1.93877551,0.8,2,0,5,7.5,0.378787879,8,13,16,6,1,23,20,32
1.12244898,1.2,1.25,0,4,9.0625,1.136363636,10,14,27,13,12,52,45,58
3.87755102,3.2,2.75,0,10,10.9375,3.03030303,14,24,14,21,8,43,37,61
3.979591837,0.4,1,0,5,2.1875,5.681818182,8,13,14,14,13,41,35,48
1.326530612,3.8,2.5,0,8,11.875,1.893939394,14,21,15,12,15,42,36,57
2.857142857,4.8,2,0,10,5.9375,6.060606061,12,22,12,2,3,17,15,36
3.571428571,2.2,2.25,0,8,5.625,10.98484848,17,25,17,7,9,33,28,53
1.224489796,3,4.5,0,9,9.6875,4.166666667,14,23,6,8,7,21,18,41
1.224489796,4.8,4,0,10,0.625,7.575757576,8,18,11,3,6,20,17,35
1.530612245,4.4,2,0,8,1.25,4.924242424,6,14,2,7,1,10,9,23
1.632653061,4,2.75,0,8,9.0625,0.378787879,9,18,10,27,16,53,45,63
4.693877551,3.4,4,0,12,10,0.378787879,10,22,12,25,15,52,45,67
4.183673469,1.6,3.75,0,10,7.5,6.439393939,14,23,16,25,12,53,45,69
3.367346939,3.4,1,0,8,11.875,5.681818182,18,25,1,9,2,12,10,36
0.612244898,0.4,2.25,0,3,5.9375,4.545454545,10,14,17,3,9,29,25,39
4.183673469,2.6,3.75,0,11,7.5,9.46969697,17,28,3,22,16,41,35,63
0.102040816,3,4,0,7,0,4.166666667,4,11,19,9,10,38,33,44
4.591836735,1.6,1.25,0,7,0.3125,3.409090909,4,11,1,7,14,22,19,30
0.306122449,3.4,2.25,0,6,3.125,3.787878788,7,13,17,25,8,50,43,56
3.469387755,0.4,1.25,0,5,0.9375,11.74242424,13,18,3,26,10,39,33,51
3.775510204,4.6,1.25,0,10,6.25,4.166666667,10,20,15,24,8,47,40,60
0.204081633,1.8,3.5,0,6,8.4375,3.03030303,11,17,20,19,14,53,45,62
0.816326531,2.4,2.5,0,6,8.75,10.98484848,20,25,1,13,6,20,17,43
3.469387755,3.6,1.75,0,9,8.4375,7.196969697,16,24,10,26,3,39,33,58
3.673469388,4.2,1.75,0,10,10.625,3.787878788,14,24,27,3,16,46,39,63
3.469387755,1.2,3.25,0,8,11.875,9.46969697,21,29,7,19,3,29,25,54
0.612244898,5,4,0,10,10.625,1.136363636,12,21,20,12,13,45,39,60
2.244897959,2.8,2.25,0,7,11.5625,9.46969697,21,28,26,4,14,44,38,66
3.775510204,3.2,4.5,0,11,2.8125,9.46969697,12,24,24,11,7,42,36,60
1.530612245,2,2.25,0,6,8.75,2.651515152,11,17,14,21,15,50,43,60
0.510204082,5,1.75,0,7,8.125,11.36363636,19,27,19,8,12,39,33,60
0.816326531,4.6,0.25,0,6,9.375,3.787878788,13,19,11,10,2,23,20,39
0,3.2,2.5,0,6,10,1.893939394,12,18,5,9,16,30,26,43
1.632653061,2.8,2.5,0,7,4.375,10.22727273,15,22,20,7,7,34,29,51
3.06122449,3.2,2.5,0,9,3.75,0.378787879,4,13,6,5,8,19,16,29
0.510204082,3.6,3,0,7,8.125,0.757575758,9,16,10,20,7,37,32,48
3.979591837,3,1.25,0,8,11.5625,1.515151515,13,21,14,7,13,34,29,50
2.653061224,1.6,2.75,0,7,10.625,2.651515152,13,20,7,12,3,22,19,39
4.591836735,1,2.75,0,8,9.0625,8.712121212,18,26,4,21,7,32,27,54
4.387755102,1.6,2.75,0,9,0.9375,1.893939394,3,12,27,20,0,47,40,52
4.693877551,2,1.25,0,8,9.0625,11.74242424,21,29,10,14,8,32,27,56
4.795918367,0.6,5,0,10,12.5,3.409090909,16,26,10,5,16,31,27,53
1.734693878,1,0.5,0,3,7.1875,3.787878788,11,14,10,23,6,39,33,48
0,2.2,3.5,0,6,7.5,2.651515152,10,16,21,15,8,44,38,54
2.959183673,0.6,0.75,0,4,3.4375,7.575757576,11,15,14,3,9,26,22,38
3.265306122,4.8,2.75,0,11,6.5625,8.712121212,15,26,16,14,7,37,32,58
2.346938776,1.8,2,0,6,11.25,10.60606061,22,28,3,17,2,22,19,47
2.142857143,3.2,3,0,8,0.625,11.74242424,12,21,16,26,8,50,43,64
2.244897959,5,2.75,0,10,1.875,7.954545455,10,20,7,10,3,20,17,37
2.142857143,3.4,0,0,6,9.6875,1.136363636,11,16,27,16,14,57,49,65
3.87755102,0.2,2.75,0,7,7.8125,2.651515152,10,17,4,9,11,24,21,38
1.93877551,4.8,2.25,0,9,3.75,4.924242424,9,18,5,5,5,15,13,31
2.448979592,1.2,2.25,0,6,0.625,8.333333333,9,15,7,4,15,26,22,37
2.551020408,4.6,2,0,9,1.25,4.545454545,6,15,4,1,0,5,4,19
3.979591837,1.4,1.25,0,7,10,3.03030303,13,20,25,17,6,48,41,61
1.734693878,4.4,2.25,0,8,10.3125,1.893939394,12,21,25,4,4,33,28,49
3.265306122,3.6,2.25,0,9,12.1875,6.060606061,18,27,27,25,0,52,45,72
3.469387755,4.8,2.25,0,11,8.125,2.272727273,10,21,9,12,11,32,27,48
5,3.8,1.25,0,10,7.1875,10.22727273,17,27,22,2,14,38,33,60
2.244897959,1.4,2.75,0,6,10,1.136363636,11,18,7,5,6,18,15,33
3.673469388,5,5,0,14,10.3125,2.651515152,13,27,27,20,1,48,41,68
0.918367347,0.8,2.75,0,4,10.9375,1.136363636,12,17,14,1,1,16,14,30
1.734693878,2,1.5,0,5,3.4375,3.409090909,7,12,14,10,6,30,26,38
1.428571429,4,2,0,7,6.875,7.575757576,14,22,14,26,14,54,46,68
1.93877551,3,2.25,0,7,5,0.757575758,6,13,1,24,4,29,25,38
3.571428571,0.6,2.75,0,7,2.1875,10.98484848,13,20,3,19,9,31,27,47
4.489795918,2.8,3.5,0,11,8.75,0,9,20,8,9,1,18,15,35
0.816326531,1.4,3,0,5,11.875,4.924242424,17,22,22,0,9,31,27,49
1.12244898,4.4,1.25,0,7,5.3125,4.545454545,10,17,27,16,2,45,39,55
1.428571429,2.8,3,0,7,8.75,7.196969697,16,23,4,10,6,20,17,40
1.12244898,0.8,1.75,0,4,1.875,0.378787879,2,6,18,27,12,57,49,55
5,0.2,2.25,0,7,12.5,0.378787879,13,20,8,3,14,25,21,42
4.387755102,1.8,1,0,7,2.5,1.136363636,4,11,19,20,13,52,45,55
2.448979592,3.2,4.75,0,10,12.1875,5.681818182,18,28,15,6,3,24,21,49
4.897959184,5,2.75,0,13,5.9375,9.848484848,16,28,25,26,13,64,55,83
2.346938776,1.8,1.75,0,6,4.0625,6.818181818,11,17,6,8,0,14,12,29
4.285714286,4.6,3.5,0,12,0,10.60606061,11,23,2,13,4,19,16,39
2.142857143,0.2,3.25,0,6,10,12.5,23,28,17,7,12,36,31,59
5,4.8,3,0,13,2.8125,7.954545455,11,24,1,22,8,31,27,50
0.408163265,2.2,1.5,0,4,8.125,3.787878788,12,16,13,1,2,16,14,30
1.530612245,2,2.75,0,6,6.875,6.818181818,14,20,10,5,12,27,23,43
1.428571429,1.6,2,0,5,8.75,3.787878788,13,18,16,16,4,36,31,48
3.469387755,0,4.25,0,8,7.1875,3.03030303,10,18,20,21,10,51,44,62
2.755102041,1.8,2,0,7,8.75,11.36363636,20,27,21,23,6,50,43,70
3.775510204,5,1.25,0,10,12.1875,9.848484848,22,32,24,19,11,54,46,78
1.734693878,0.2,4,0,6,4.375,10.60606061,15,21,6,17,0,23,20,41
4.489795918,1.4,2.25,0,8,7.8125,8.333333333,16,24,4,23,7,34,29,53
4.795918367,1.4,2.75,0,9,5.3125,4.545454545,10,19,12,0,10,22,19,38
1.12244898,0.4,2.25,0,4,1.25,8.712121212,10,14,12,12,6,30,26,39
0,0.2,3,0,3,2.8125,2.272727273,5,8,12,22,3,37,32,40
2.040816327,0,2,0,4,11.25,4.545454545,16,20,1,12,2,15,13,33
2.653061224,0.2,1.5,0,4,4.0625,9.848484848,14,18,5,14,3,22,19,37
4.591836735,3.8,2.75,0,11,11.5625,1.136363636,13,24,13,15,14,42,36,60
0.714285714,2.2,2.5,0,5,2.8125,4.166666667,7,12,26,17,9,52,45,57
5,2.2,3.5,0,11,6.875,9.090909091,16,27,21,9,15,45,39,65
3.87755102,1.8,3.5,0,9,5.9375,7.954545455,14,23,1,21,4,26,22,45
1.632653061,0.8,4,0,6,7.1875,3.409090909,11,17,2,0,4,6,5,22
3.367346939,0.2,3.25,0,7,9.6875,3.787878788,13,20,5,16,3,24,21,41
4.285714286,3.6,1.25,0,9,10.9375,0.757575758,12,21,10,16,4,30,26,47
3.367346939,4,2.5,0,10,2.8125,0.378787879,3,13,23,4,10,37,32,45
4.081632653,3.4,2,0,9,8.75,12.5,21,31,21,15,0,36,31,62
4.693877551,3.8,2.5,0,11,5,10.98484848,16,27,27,1,3,31,27,54
2.346938776,2,2.75,0,7,10,8.712121212,19,26,14,8,2,24,21,46
2.755102041,2.2,4.25,0,9,8.75,4.924242424,14,23,14,10,0,24,21,43
0.918367347,3.6,3.25,0,8,2.8125,1.136363636,4,12,0,24,10,34,29,41
0.510204082,3.4,1.75,0,6,2.8125,5.681818182,8,14,20,6,6,32,27,42
3.87755102,1,4.75,0,10,11.25,9.090909091,20,30,19,3,16,38,33,63
4.897959184,3,2.25,0,10,12.5,3.03030303,16,26,18,23,15,56,48,74
2.551020408,3,1.75,0,7,7.8125,6.439393939,14,22,18,20,6,44,38,59
1.734693878,4,2.5,0,8,5.3125,0.378787879,6,14,19,27,2,48,41,55
1.632653061,3.2,2.25,0,7,1.875,1.136363636,3,10,21,12,3,36,31,41
2.346938776,2.4,1,0,6,9.6875,1.515151515,11,17,11,0,6,17,15,32
3.163265306,2.6,3.75,0,10,8.75,2.272727273,11,21,16,14,7,37,32,52
1.020408163,0.2,2.75,0,4,6.875,1.515151515,8,12,18,8,2,28,24,36
1.428571429,3.8,4,0,9,1.25,1.136363636,2,12,27,4,7,38,33,44
1.12244898,1.6,1,0,4,10.625,2.651515152,13,17,1,22,9,32,27,44
0.612244898,4.6,1.75,0,7,3.75,12.12121212,16,23,0,25,14,39,33,56
3.571428571,0.6,0.75,0,5,11.5625,10.98484848,23,27,10,24,13,47,40,68
3.775510204,0.6,2.75,0,7,0.3125,4.924242424,5,12,21,2,12,35,30,42
2.959183673,2,1,0,6,0.625,0,1,7,17,26,0,43,37,43
4.693877551,1.4,3.75,0,10,10.3125,1.515151515,12,22,8,15,9,32,27,49
3.775510204,4,3,0,11,2.5,4.924242424,7,18,12,18,5,35,30,48
1.734693878,0.8,0.75,0,3,10,12.12121212,22,25,0,23,9,32,27,53
1.734693878,0.6,1.5,0,4,3.125,10.98484848,14,18,19,16,9,44,38,56
4.489795918,4.8,3,0,12,7.1875,6.818181818,14,26,1,18,9,28,24,50
0.102040816,2.2,2.25,0,5,0.3125,4.166666667,4,9,6,25,9,40,34,43
1.93877551,3.4,2.25,0,8,0.9375,6.060606061,7,15,27,15,4,46,39,54
0.306122449,4.8,1.75,0,7,8.75,3.03030303,12,19,14,9,14,37,32,50
2.959183673,3.2,5,0,11,1.5625,1.893939394,3,15,6,16,6,28,24,39
1.020408163,3.4,1.75,0,6,6.25,10.22727273,16,23,25,23,1,49,42,65
4.285714286,2.6,2,0,9,9.375,1.893939394,11,20,7,1,2,10,9,29
4.387755102,2,2.75,0,9,2.5,11.36363636,14,23,15,7,10,32,27,50
1.12244898,5,4.5,0,11,9.375,3.787878788,13,24,8,18,7,33,28,52
0,2.6,2.5,0,5,2.8125,0.757575758,4,9,1,13,5,19,16,25
3.979591837,3.4,0,0,7,10.9375,3.787878788,15,22,17,16,6,39,33,56
0.306122449,3.2,2.5,0,6,5.625,3.409090909,9,15,7,7,9,23,20,35
0.306122449,0.8,0.75,0,2,10.3125,3.03030303,13,15,0,18,8,26,22,37
1.632653061,0.2,1.25,0,3,12.5,1.136363636,14,17,18,21,15,54,46,63
0.204081633,1.8,2,0,4,12.1875,10.60606061,23,27,20,14,14,48,41,68
4.897959184,1.6,1.5,0,8,5.3125,10.60606061,16,24,0,23,9,32,27,51
4.081632653,3.6,2.75,0,10,10.3125,6.060606061,16,27,2,10,10,22,19,46
2.857142857,2.4,2,0,7,1.875,6.439393939,8,16,22,14,0,36,31,46
2.244897959,1.2,3,0,6,8.75,2.272727273,11,17,3,0,3,6,5,23
3.979591837,1.8,1.75,0,8,4.0625,6.439393939,11,18,14,6,8,28,24,42
3.87755102,3.2,3.25,0,10,2.5,8.712121212,11,22,6,26,16,48,41,63
1.632653061,0,2.25,0,4,9.375,9.46969697,19,23,20,17,5,42,36,59
4.693877551,2.4,5,0,12,3.75,0.757575758,5,17,0,7,12,19,16,33
3.469387755,3.4,4.5,0,11,9.0625,0,9,20,19,17,1,37,32,52
3.265306122,2.8,0.25,0,6,4.375,6.818181818,11,18,8,24,1,33,28,46
3.265306122,1.8,4.75,0,10,5.9375,6.439393939,12,22,19,6,12,37,32,54
